REPORTE DESCONSOLIDACION / PROVISION,,,,,,,,,,,,,,ARRIBO,,PROVISION,FACTURACIÓN,
"FECHA DE DES-
CONSOLIDACION",ME,LINEA,CODIGO EMBALAJE,USO/MARCHAMO,OPERATIVO,OT,CLIENTE,B/L HOUSE,B/L MASTER,NUMERO CNTR.,TOTAL DE CONTENEDORES,NAVIERA,BARCO,ETA BARCO,ETA CONFIRMADA,FECHA DE PROVISION,NUMERO DE DTE,FECHA DE FACTURA
15/01/2025,24,18,CT,23,KATHERINE,24OT3348,"Active Motors, S.A. de C.V.",SHE24091152,MEDUQW750168,"MSDU8968056, TEMU8188517, MSMU6203207, MEDU8676458, FFAU3716835, MSMU7535762, MSDU5612375, FFAU2762604, BMOU5543893, TIIU4540974, MSCU5118728, TCNU6992110, MSNU5412973, MSNU5414889, MSNU5413115, TLLU8966595, MSBU5200196, MSMU5736599, TRHU7165980, CAIU4661654, MSDU6125303, MSMU6001799, MSMU6288415, MSDU5906889, MSNU5410517, MSNU5439315, MSNU5437035, MSNU5436722, MSNU5436759, TGBU9339011, FDCU0051775, MSDU5143540, MSMU8865286, FFAU4085293, MSMU8624550",35,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,15/01/2025,N/A,,
10/01/2025,6,16/1,CT,23,NANCY,24OT2578 ,DISTRIBUIDORA TC ,SYNSHA24SE100579,CHN1664057,CAIU7344442,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
13/01/2025,6,34/1,PK,23,INGRID,24OT2574,"INDUSTRIAL LA PALMA, S.A. DE C.V.",SΥNNKG24SE100012,CQH0113285,BMOU2163225,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
PLG SV,6,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,DLN0209110,PLG SV,PLG SV,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
13/01/2025,6,36/1,CS,23,CELINA,24OT2627,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNTSN24SE100191,DLN0210483,"APZU3229411, FCIU3925880, SEGU3177365, TEMU3194266, TEMU4251036",5,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
10/01/2025,6,46/1,PK,23,JOSELYNE,24OT2816,CIRI EL SALVADOR S.A. DE C.V.,TSL2409176,GGZ2329778,TXGU8301082,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
11/01/2025,6,49/1,PK,23,JOSELYNE,25OT191,CIRI EL SALVADOR S.A. DE C.V.,TSL2410083,GGZ2347646,APHU7351488,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
10/01/2025,7,65/1,RO,23,JOSELYNE,24OT2815,ICAT S.A. DE C.V.,2410Q004059,QGD1272553,CMAU4107856,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
11/01/2025,7,70/1,PK,23,MARCELA,24OT2454,"QUIMICAS CONSOLIDADAS, S.A. DE C.V.",2409Q001004,QGD1282065,"TRLU7276750, CMAU6186920, TXGU8721249, TXGU8730364, TXGU8721059",5,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
11/01/2025,7,71/1,PK,23,MARCELA,24OT2453,"QUIMICAS CONSOLIDADAS, S.A. DE C.V.",2409Q001003,QGD1282843,"TGBU5223996, TCNU5667856, CMAU5283253, TEMU7906760, TGBU6980926",5,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
13/01/2025,7,80/1,CS,23,CELINA,24OT2594,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNTAO24SE100235,QGD1289672,"CMAU0597328, TLLU2349981, APZU3559291",3,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
10/01/2025,7,82/1,PK,23,NANCY ,24OT2613,LLANTAS DE OCCIDENTE S.A DE C.V ,SYNTAO24SE100236,QGD1294014,APHU6739036,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
11/01/2025,7,84/1,BG,23,MARCELA,24OT2457,"QUIMICAS CONSOLIDADAS, S.A. DE C.V.",2409Q001006,QGD1295122,"APHU6976871, TXGU6122112, CMAU7146331, TRHU7238983, SEGU4265286",5,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
10/01/2025,8,41/1,PK,23,JOSELYNE,24OT3303,COMERCIALIZACIONES DIVERSAS SAN PABLO S.A. DE C.V.,2410Q052030,QGD1350096,CMAU5754348,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
11/01/2025,8,64/1,BG,23,MARCELA,24OT2796,"QUIMICAS CONSOLIDADAS, S.A. DE C.V.",SYNTAO24SE100807,QGD1400042,"TCLU3941451, SEGU1154904, GESU1235128",3,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
13/01/2025,8,66/1,PX,23,INGRID,24OT2478,"REPRESENTACIONES DIVERSAS, S.A. DE C.V.",PDES00100202,SEL1793468,CMAU0560967,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
PLG SV,8,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,SGN2395140,PLG SV,PLG SV,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
13/01/2025,9,58/1,CT,23,INGRID,24OT2737,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNTSN24SE100005,TJN0493934,FFAU5969302 FFAU5974309,2,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
11/01/2025,9,65/1,RO,23,MARCELA,24OT2383,"ALMACENES BOU, S.A. DE C.V.",SYNTSN24SE100043,TJN0498061,TGHU6303892,1,CMA CGM,HELLE RITSCHER 0MVS5R1MA,16/01/2025,25/01/2025,N/A,,
24/01/2025,42,23/1,DR,23,MARCELA,24OT2547,QUIMICAS CONSOLIDADAS S.A DE C.V,SYNSHA24SE101432,CHN1701199,"CMAU4979210, CMAU8831690, CMAU9626941, FSCU8337949, TLLU4795940",5,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,42,28/1,PK,23,JOSELYNE,24OT3382,"IMPORTACIONES PARA CONSTRUCCION, S.A DE C.V",2410N001228,CHN1718083,CMAU6385964,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,42,33/1,PX,23,SAMUEL,24OT2558,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA24SE102185,CHN1743795,TIIU4216380,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,42,57/1,PK,23,JOSELYNE,24OT2460,"ALEGRIA GUARDADO, TOMAS JOSE",SYNCAN24SE100639,GGZ2350473,TGBU6724734,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
PLG SV,43,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,NGP1741701,PLG SV,PLG SV,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,N/A,,
25/01/2025,44,79/1,PK,23,JOSELYNE,25OT262,GLOBAL TIRE XPRESS S.A. DE C.V.,2411Q010119,QGD1333155,"CMAU4801722
CMAU5457186",2,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
25/01/2025,44,93/1,PK,23,SAMUEL,24OT2766,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNTAO24SE100747,QGD1359264,APZU4760865,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
27/01/2025,44,95/1,PK,23,NANCY,24OT2794,CORBES S.A DE C.V ,SYNTAO24SE100776,QGD1359406,SEKU6018931,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
26/01/2025,44,95/1,RO,23,NANCY,24OT2783,JOSE N BTARSE S.A DE CV ,SYNTAO24SE100777,QGD1359479,TGBU5074589,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
24/01/2025,45,3/1,CS,23,CELINA,24OT2869,"INDUSTRIAS CONSOLIDADAS, LTDA. DE C.V.",SYNTAO24SE110144,QGD1369066,"CMAU1146714, CMAU2284765, SEGU1144892, TCKU3417386",4,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
25/01/2025,45,12/1,PK,23,SAMUEL,24OT2895,"CENTRO DE SERVICIO DOÑO, S.A. DE C.V.",SYNTAO24SE110218,QGD1372725,TCLU8645832,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
25/01/2025,45,18/01,PK,23,SAMUEL,24OT2920,"CENTRO DE SERVICIO DOÑO, S.A. DE C.V.",SYNTAO24SE110190,QGD1373536,"BMOU6616870,
CMAU5514434",2,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
25/01/2025,45,19/1,PK,23,SAMUEL,24OT2880,"CENTRO DE SERVICIO DOÑO, S.A. DE C.V.",SYNTAO24SE110180,QGD1373563,TGBU4127616,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
25/01/2025,45,20/1,PK,23,SAMUEL,24OT2879,"CENTRO DE SERVICIO DOÑO, S.A. DE C.V.",SYNTAO24SE110181,QGD1375323,"TLLU4007442,
GESU6687096",2,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
24/01/2025,45,32/1,PK,23,CELINA,24OT2854,"FREUND DE EL SALVADOR, LTDA DE C.V",2411Q001195,QGD1383485,BMOU6401403,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
24/01/2025,45,40/1,PK,23,JOSELYNE,24OT2862,"RAMOS DE ARGUETA, NOHEMY GUADALUPE",SYNTAO24SE110895,QGD1396175,CMAU6267133,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
25/01/2025,45,45/1,CT,23,INGRID,24OT2954,"INDUSTRIAS FACELA, S.A. DE C.V.",SYNTAO24SE110418,QGD1407200,CMAU4502001,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,1/02/2025,,
24/01/2025,45,46/1,PK,23,JONATHAN,24OT2968,TRANSORTES PESADOS SA DE CV,SYNTAO24SE110397,QGD1407778,CMAU5846207,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,45,47/1,PK,23,SAMUEL,24OT2985,"SUPER REPUESTOS DE EL SALVADOR, S.A. DE C.V.",SYNTAO24SE110540,QGD1407799,APZU4867909,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,45,53/1,CT,23,INGRID,24OT2952,"TECNISPICE, S.A. DE C.V.",SYNTAO24SE110697,QGD1412874,DRYU4177888,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,45,55/1,PK,23,SAMUEL,24OT3088,"CENTRO DE SERVICIO DOÑO, S.A. DE C.V.",SYNTAO24SE110950,QGD1415148,BMOU6984403,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,45,59/1,PK,23,JOSELYNE,24OT2860,"RAMOS DE ARGUETA, NOHEMY GUADALUPE",SYNTAO24SE110753,QGD1417195,TCLU1864551,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,45,60/1,PK,23,JOSELYNE,24OT2861,"RAMOS DE ARGUETA, NOHEMY GUADALUPE",SYNTAO24SE110754,QGD1417262,FWRU0131795,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,45,61/1,PK,23,JOSELYNE,24OT2863,"RAMOS DE ARGUETA, NOHEMY GUADALUPE",SYNTAO24SE110897,QGD1429530,APHU7183044,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,45,76/1,BX,23,SAMUEL,24OT2637,"SUPER REPUESTOS DE EL SALVADOR, S.A. DE C.V.",PDES00100203,SEL1794494,DRYU9693505,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,45,78/1,PX,23,JOSELYNE,24OT3190,"LUISSA, S.A DE C.V",VTHO00100034,SEL1796617,FTAU1847535,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,45,82/1,PX,23,INGRID,24OT2948,"REPRESENTACIONES DIVERSAS, S.A. DE C.V.",PDES00100210,SEL1812396,CMAU0605927,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,45,83/1,CT,23,SAMUEL,24OT3071,"SUPER REPUESTOS DE EL SALVADOR, S.A. DE C.V.",PDES00100209,SEL1818145,TRHU6042492,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,45,92/1,BE,23,CELINA,24OT2458,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNCAN24SE100051,SHZ6689917,"TCKU6397679, TCNU3638720, TCLU9431434, CAIU9510199, CMAU6745633, TLLU4349717",6,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
PLG SV,45,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,SHZ6731755,PLG SV,PLG SV,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,N/A,,
25/01/2025,46,39/1,PK,23,INGRID,24OT2298,"LAJANDRA, S.A. DE C.V.",SYNTSN24SE090219,TJN0486560,TRHU8274270,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,46,41/1,CT,23,INGRID,24OT2297,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNTSN24SE090244,TJN0487309,ECMU7001412,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,46,54/1,CT,23,SAMUEL,24OT2710,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNTSN24SE100287,TJN0506009,"FCIU7266965,
CMAU9757495,
CMAU4909002",3,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,46,56/1,CS,23,CELINA,24OT2867,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNTSN24SE110149,TJN0507114,"CMAU4997560, TCNU2954718",2,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,46,61/1,CT,23,CELINA,24OT2839,FREUND DE EL SALVADOR LTDA DE C.V,2411Q001126,TJN0520714,"TEMU7802702, TRHU8181075",2,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,46,62/1,PK,23,MARCELA,24OT2871,"DISTRIBUIDORA COMERCIAL MENDOZA, S.A DE C.V.",SYNTSN24SE110142,TJN0521263,CMAU4875047,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,46,64/1,BE,23,CELINA,24OT2640,FREUND DE EL SALVADOR LTDA DE C.V,2411Q001042,TJN0527244,"FFAU4554425, CMAU7775020",2,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2024,46,69/1,CT,24,MARCELA,24OT3056,"TRADER, S.A. DE C.V.",SESTYO241163,TYO0651260,CMAU2499573,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
25/01/2025,46,79/1,CT,23,INGRID,24OT2584,"JUGUESAL, S.A. DE C.V.",SYNXMN24SE100136,XIA1471030,TRHU5119286,1,CMA CGM,MAGDALENA SCHULTE 0UC04N1MA,29/01/2025,5/02/2025,3/02/2025,,
24/01/2025,55,10/1,PX,23,NANCY ,24OT3118 ,LA CASA DE LAS BATERIAS S.A DE C.V ,SBOG00040471,HLCUBO2241139668,"BMOU2977978, HLBU2283645, TEMU1904693,  TLLU2515737, TRHU1910149 ",5,HAPAG LLOYD,SPIRIT OF DUBAI 08E,4/02/2025,4/02/2025,N/A,,
5/02/2025,76,67,PX,23,MARCELA,24OT2723,"HYSTIK DE CENTROAMERICA, S.A DE C.V.",SYNFOC24SE100033,FOC0307700,"TCKU6225704, CRSU9167546",2,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,7/02/2025,,
5/02/2025,76,25,PK,23,CELINA,24OT2865,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNSHA24SE110801,CHN1760316,TRLU8739273,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,6/02/2025,,
5/02/2025,76,3,CT,24,ALBERTO,24OT2636,INTRALOGIX S.A. DE C.V/CATCO CORP,WSLPEN2410443,AYN1179088,TCLU1485943,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/2025,76,45,PK,24,JONATHAN,24OT2914,"POLITORNO CENTROAMERICA, S.A. DE C.V.",2411Q001185,CHN1790515,"CMAU7296780, TIIU5397507",2,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,6/02/2025,,
5/02/2025,76,23,DR,23,MARCELA,24OT2548,"QUIMICAS CONSOLIDADAS, SA DE CV ",SYNSHA24SE110380,CHN1743557,"APZU4749130, CMAU9113105, DFSU4307513, TCLU4335470, TRLU8711152",5,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,6/02/2025,,
5/02/2025,76,24,PK,23,INGRID,"24OT2788
","SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA24SE110580,CHN1751397,FSCU5131445,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,N/A,,
5/02/2025,77,50,CT,23,NANCY ,24OT2951,"AQUA MARKET, SOCIEDAD ANONIMA DE CAPITAL VARIABLE ",SYNNGB24SE110825,NGP1799246,SEGU6077781,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/20257,77,36,CT,23,NANCY ,24OT2803,"EL KANGURO, SOCIEDAD ANONIMA DE CAPITAL VARIABLE ",SYNNGB24SE110550,NGP1787825,TXGU8796192,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/2025,77,53,CT,23,INGRID,"24OT2887
","JUGUESAL,S.A. DE C.V.
",SYNNGB24SE110831,NGP1803548,GCXU6133256,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,N/A,,
5/02/2025,78,46,UN,24,ERNESTO/ NANCY ,24OT2615 ,CONSORCIO AUTOMOTRIZ S.A DE C.V.,SYNTAO24SE120056,QGD1439354,"CMAU3318670
TCKU6297237
TEMU7359636",3,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,N/A,,
5/02/2025,78,48,UN,24,ERNESTO/ NANCY ,24OT2616 ,CONSORCIO AUTOMOTRIZ S.A DE C.V.,SYNTAO24SE110799,QGD1440681,"CMAU5859858
TCKU6264927
TGBU5135642",3,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,N/A,,
6/02/2025,78,91,BE,23,CELINA,24OT2950,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNCAN24SE110499,SHZ6820507,"TCLU5588338, CAIU4950472, BEAU4846268, FFAU4968472, CMAU9739233, CMAU7136436, SEKU5933893",7,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/2025,78,50,CR,23,NANCY ,24OT3123,JOSE N. BATARSE S.A DE CV,2412Q001053,QGD1449629,UETU5170681,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/2025,78,62,PX,23,JOSELYNE,25OT174,"LUISSA, S.A. DE C.V.",VTHO00100036,SEL1830185,SGCU2150564,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,26/03/2025,,
5/02/2025,78,32,PK,23,JOSELYNE,24OT2562,NOHEMY GUADALUPE RAMOS DE ARGUETA,SYNTAO24SE110306,QGD1404785,SEGU6432905,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/2025,78,33,PK,23,JOSELYNE,24OT2563,NOHEMY GUADALUPE RAMOS DE ARGUETA,SYNTAO24SE110307,QGD1404790,TCLU6738833,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
5/02/2025,78,41,PK,23,JOSELYNE,24OT2564,NOHEMY GUADALUPE RAMOS DE ARGUETA,SYNTAO24SE110752,QGD1417087,TLLU7894844,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
24/02/2025,78,96/1,PK,23,INGRID,24OT2916,"SUPER REPUESTOS  EL SALVADOR, S.A. DE C.V.",SYNCAN24SE110500,SHZ6821339,FFAU4736693,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,6/02/2025,,
5/02/2025,78,21,CT,23,INGRID,24OT2947,"TECNISPICE, S.A. DE C.V.",SYNTAO24SE110066,QGD1394282,SEGU6371414,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
4/02/2025,79,86,CT,23,MARCELA,24OT2828,"ALMACENES BOU, SA DE CV ",SYNNKG24SE110049,YGG0130535,CMAU7960590,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,10/02/2025,,
6/02/2025,79,74,CT,23,CELINA,24OT3136,"ALMACENES SIMAN, S.A DE C.V",SYNTSN24SE120115,TJN0542475,CMAU4749141,1,CMA CGM,HELLE RITSCHER 0MVS6R1MA,4/02/2025,20/02/2025,7/02/2025,,
